iter	Passed	Remaining
0	1	1952
1	3	1814
2	5	1874
3	7	1848
4	9	1831
5	11	1848
6	12	1831
7	14	1809
8	16	1787
9	17	1775
10	19	1774
11	21	1762
12	23	1770
13	25	1765
14	27	1778
15	28	1770
16	30	1765
17	32	1755
18	33	1753
19	35	1750
20	37	1749
21	39	1743
22	41	1751
23	42	1745
24	44	1737
25	46	1742
26	48	1747
27	50	1745
28	52	1748
29	54	1754
30	56	1751
31	57	1747
32	59	1749
33	61	1752
34	63	1743
35	64	1737
36	66	1732
37	68	1730
38	70	1726
39	71	1718
40	73	1729
41	75	1729
42	77	1722
43	79	1718
44	81	1719
45	82	1713
46	84	1712
47	86	1706
48	88	1708
49	89	1708
50	91	1704
51	93	1701
52	95	1698
53	96	1694
54	98	1689
55	100	1688
56	102	1688
57	103	1683
58	105	1680
59	107	1678
60	108	1673
61	110	1669
62	111	1664
63	113	1663
64	115	1664
65	117	1661
66	119	1659
67	120	1655
68	122	1657
69	124	1654
70	126	1651
71	127	1647
72	129	1643
73	131	1642
