symbol,check_id,status,severity,metric_name,metric_value,expected,details,source_path,evaluated_at_utc
AUDUSD,STAGE13_DUKASCOPY_TESTCLIENT_PASS,fail,critical,stage13_dukascopy_testclient_pass,0,1,,data/analysis/backtest_reconcile/stage13_dukascopy_testclient_summary.csv,2026-04-04T23:01:41Z
AUDUSD,JFOREX_SIGNAL_PARITY_PASS,fail,critical,jforex_signal_parity_pass,0,1,missing input artifact,,2026-04-04T23:01:41Z
AUDUSD,JFOREX_EXECUTION_PARITY_PASS,fail,critical,jforex_execution_parity_pass,0,1,missing input artifact,,2026-04-04T23:01:41Z
AUDUSD,EXECUTION_LIFECYCLE_PASS,fail,critical,execution_lifecycle_pass,0,1,missing input artifact,,2026-04-04T23:01:41Z
AUDUSD,OPERATIONAL_READY_PASS,fail,high,operational_ready_pass,0,1,missing input artifact,,2026-04-04T23:01:41Z
AUDUSD,JFOREX_OUTCOME_PARITY_PASS,fail,critical,jforex_outcome_parity_pass,0,1,missing deterministic execution artifact: AUDUSD_jforex_runtime_events.csv,data/analysis/backtest_reconcile/AUDUSD_jforex_runtime_events.csv,2026-04-04T23:01:41Z
AUDUSD,LOCAL_JFOREX_SURROGATE_PASS,fail,critical,local_jforex_surrogate_pass,0,1,missing deterministic execution artifact: AUDUSD_local_jforex_runtime_events.csv,data/analysis/backtest_reconcile/AUDUSD_local_jforex_runtime_events.csv,2026-04-04T23:01:41Z
AUDUSD,THRESHOLD_PARITY_PASS,skip,critical,threshold_parity_pass,0,1,no threshold JSON for AUDUSD 2026-02,models/oco_dukascopy_candidate,2026-04-04T23:01:41Z
EURUSD,STAGE13_DUKASCOPY_TESTCLIENT_PASS,fail,critical,stage13_dukascopy_testclient_pass,0,1,,data/analysis/backtest_reconcile/stage13_dukascopy_testclient_summary.csv,2026-04-04T23:01:41Z
EURUSD,JFOREX_SIGNAL_PARITY_PASS,fail,critical,jforex_signal_parity_pass,0,1,missing input artifact,,2026-04-04T23:01:41Z
EURUSD,JFOREX_EXECUTION_PARITY_PASS,fail,critical,jforex_execution_parity_pass,0,1,missing input artifact,,2026-04-04T23:01:41Z
EURUSD,EXECUTION_LIFECYCLE_PASS,fail,critical,execution_lifecycle_pass,0,1,missing input artifact,,2026-04-04T23:01:41Z
EURUSD,OPERATIONAL_READY_PASS,fail,high,operational_ready_pass,0,1,missing input artifact,,2026-04-04T23:01:41Z
EURUSD,JFOREX_OUTCOME_PARITY_PASS,fail,critical,jforex_outcome_parity_pass,0,1,missing deterministic execution artifact: EURUSD_jforex_runtime_events.csv,data/analysis/backtest_reconcile/EURUSD_jforex_runtime_events.csv,2026-04-04T23:01:41Z
