pair,trades,win_rate,mean_pnl,total_pnl,max_dd,sharpe,sharpe_active,sharpe_trade,variant,strategy_type
AUD/CAD,973,44.91264131551901,11.74453237410072,11427.43,-7631.090000000003,0.5781721337834986,1.5264473967084482,2.858514483884052,baseline,MOM
AUD/NZD,934,48.0728051391863,3.90887580299786,3650.8900000000012,-7427.67,0.13524818568486952,0.3644408913273013,0.6705648800266953,baseline,MOM
CAC/NZD,535,45.794392523364486,29.505420560747666,15785.400000000001,-11495.98,0.48975092862380337,1.2487672658703748,1.4735588905267778,baseline,MOM
CHF/JPY,894,44.407158836689035,6.354105145413872,5680.5700000000015,-10157.560000000001,0.19967785221931664,0.5394672966041317,1.0044252746405236,baseline,MOM
EUR/AUD,956,44.14225941422594,2.8495606694560673,2724.1800000000003,-8144.650000000002,0.08138343692311031,0.22200407600751806,0.4100361644750483,baseline,MOM
EUR/CHF,963,44.96365524402908,-1.0161578400830733,-978.5599999999995,-9774.699999999993,-0.04389823486853919,-0.11647183890973169,-0.21672730652428443,baseline,MOM
EUR/GBP,866,44.80369515011547,-3.5298960739030028,-3056.8900000000003,-8919.140000000001,-0.14658421677995473,-0.4050234900366383,-0.6954519331045868,baseline,MOM
EUR/JPY,935,40.64171122994652,8.101101604278075,7574.53,-10884.24,0.23220745185595623,0.6431854775523844,1.2604188486192878,baseline,MOM
GBP/AUD,933,46.08788853161844,8.827995712754555,8236.52,-7535.199999999996,0.29968585651061735,0.828458882132672,1.5239898871018063,baseline,MOM
GBP/CAD,1013,45.50839091806515,7.984797630799607,8088.600000000001,-5849.8200000000015,0.3979961510032354,1.073610134555962,2.015025479573337,baseline,MOM
GBP/JPY,893,41.881298992161256,9.312564389697648,8316.12,-6848.34,0.27082495412795066,0.7621312842759557,1.4860586782369996,baseline,MOM
Gold/Oil,747,43.50736278447122,9.276211512717534,6929.329999999998,-11594.389999999998,0.22155267784770802,0.5872381917468568,0.9067473067462634,baseline,MOM
Gold/Silver,798,51.00250626566416,22.6609022556391,18083.4,-10700.630000000001,0.4606745518337895,1.2807313859629752,2.063547765464618,baseline,MOM
