pair,trades,delta_mean,delta_median,delta_p80,delta_gt_5,delta_gt_10,delta_gt_20
AUD/CAD,3803,12.35940792219338,8.018518667983756,19.91073890335204,0.6360767814882987,0.4325532474362346,0.19800157770181437
AUD/NZD,3717,16.959398950929206,11.597824477818651,28.53800107060722,0.7158999192897498,0.5396825396825397,0.3309120258272801
CAC/NZD,2148,33.871727923840254,24.211283681374596,53.29674758050018,0.7932960893854749,0.7122905027932961,0.5656424581005587
CHF/JPY,3812,12.788295286646548,8.548066520569353,21.32577519207146,0.647691500524659,0.44438614900314793,0.21432318992654775
EUR/AUD,3709,16.723713264481336,10.963410718526347,27.293664480861764,0.6861687786465355,0.5297923968724724,0.3154489080614721
EUR/CHF,3934,14.66258892548207,11.599327434907853,24.678275088297756,0.6949669547534316,0.5266903914590747,0.269954245043213
EUR/GBP,3568,16.06384277915283,10.698366547890195,28.42732886264632,0.6810538116591929,0.5210201793721974,0.2984865470852018
EUR/JPY,3846,13.239026330003972,8.08935275152578,22.136071128606716,0.6385855434217369,0.43733749349974,0.22126885075403016
GBP/AUD,3784,18.62500473617148,13.079800978784704,27.85675437441706,0.7190803382663847,0.5755813953488372,0.3263742071881607
GBP/CAD,3746,12.275450999627934,8.959888710079468,19.879415115061636,0.6663107314468767,0.4388681260010678,0.19460758142018153
GBP/JPY,3830,13.538861692573827,8.35487132979651,22.66846466288719,0.6561357702349869,0.4454308093994778,0.23159268929503918
Gold/Oil,3217,29.528367374179236,19.563495877079617,44.792895325578286,0.7873795461610196,0.6767174386073982,0.49518184644078334
Gold/Silver,3531,26.41334918161122,17.61279096631263,44.642121141138546,0.7442650807136788,0.648541489662985,0.4684225431888983
NZD/CAD,3829,13.510544486068397,9.149780964733399,22.441741806555342,0.6719770174980413,0.47923739879864197,0.24366675372159832
Oil/Silver,3258,52.70577250875059,39.19968835282006,93.36422273665602,0.7955801104972375,0.7461632903621854,0.6715776550030693
SPX/CAC,2088,38.8214706442364,26.438099610022192,54.7644618073484,0.7744252873563219,0.7097701149425287,0.5905172413793104
SPX/DAX,2585,35.14095307407437,22.055256820010527,60.282494494714456,0.7609284332688588,0.6584139264990329,0.5264990328820116
SPX/Dow,3122,15.74588779461102,8.802578310911358,24.17891543320394,0.6505445227418322,0.44714926329276106,0.2395900064061499
SPX/FTSE,3299,29.8346029225591,21.494598803784015,50.88811161360951,0.7696271597453774,0.7023340406183692,0.5098514701424675
SPX/HK,1954,42.548662511017774,22.332245433975913,77.00737201523111,0.7103377686796315,0.6535312180143296,0.5271238485158649
SPX/Nas,3401,31.96053426147535,18.196312770406564,52.46191756919316,0.741252572772714,0.6442222875624817,0.47074389885327844
SPX/Nikkei,3448,29.49482586285376,17.87641658572703,48.22758207133404,0.7299883990719258,0.6276102088167054,0.4802784222737819
