pair,trades,other_dominant_rate,ratio_other_mean,ratio_other_p50,ratio_other_p80,ratio_other_gt_0_6
AUD/CAD,11570,0.6261019878997407,0.5615314612315285,0.5829112965247671,0.7867257418861725,0.4704407951598963
AUD/NZD,11337,0.474640557466702,0.49367072866055284,0.4884730501887937,0.6747048225886194,0.29037664285084236
CAC/NZD,6694,0.39871526740364505,0.43495560352253393,0.41115421833455595,0.704047633605326,0.29518972213922917
CHF/JPY,11609,0.47256438969764836,0.4863809394712647,0.4782368190024628,0.7381499259617937,0.34619691618571796
EUR/AUD,11330,0.4603706972639012,0.4794454766216346,0.4676694886546119,0.7360892480673166,0.34554280670785525
EUR/CHF,11661,0.4461881485292857,0.4718309643027645,0.4649250770817044,0.6829960392443944,0.29723008318326044
EUR/GBP,10582,0.43025893025893025,0.46642991659862865,0.45520263327399607,0.6958632638941976,0.3024948024948025
EUR/JPY,11566,0.419332526370396,0.4572458359282951,0.4351970627591548,0.7158072640732545,0.30866332353449766
GBP/AUD,11451,0.4228451663610165,0.4635354038561178,0.44250860464856495,0.7107683500918281,0.3080080342328181
GBP/CAD,11387,0.5351716870115043,0.5191857322283469,0.5244978011366166,0.7644753125556343,0.399666286115746
GBP/JPY,11600,0.46844827586206894,0.48622713699507203,0.4768217958348778,0.7493415558707207,0.34801724137931034
Gold/Oil,9578,0.6782209229484235,0.6116785698601552,0.6536135197952118,0.863073651832698,0.5696387554813114
Gold/Silver,10807,0.7144443416304247,0.6168147453990613,0.6589717940212848,0.8233278583850686,0.5923938188211344
NZD/CAD,11659,0.6244103267861738,0.5643232755559482,0.5832921773372965,0.7949186773415559,0.47362552534522684
Oil/Silver,9720,0.5166666666666667,0.5129149471827997,0.5140486969775602,0.7830124507312638,0.40030864197530863
SPX/CAC,6418,0.4710190090370832,0.47873327035270064,0.4829202355329084,0.6985303904026834,0.32549080710501715
SPX/DAX,7907,0.4403692930314911,0.4665163302251696,0.46436488444387775,0.6751761106345856,0.29050208675856837
SPX/Dow,9285,0.6742057081313947,0.6047958190674328,0.6362381115189613,0.8501172146831066,0.549057619816909
SPX/FTSE,9758,0.48155359704857553,0.4861794084112271,0.4864157399192012,0.7328956102705252,0.3542734166837467
SPX/HK,5853,0.44028703229113275,0.46194898733277207,0.45479982639280936,0.7223274336688467,0.3249615581752947
SPX/Nas,9473,0.6836271508497836,0.5630801613642245,0.5722534654813917,0.7150527685177376,0.42753087723002214
SPX/Nikkei,9972,0.5137384677095869,0.5050683049854405,0.510078159513137,0.7462453949257762,0.37545126353790614
