session,trades,win_rate,mean_pnl,total_pnl,max_dd,sharpe,sharpe_active,sharpe_trade,variant,strategy_type
Asia,66149,44.98934224251311,0.7451030249890399,49287.82,-24510.14999999995,0.36860341558583287,0.4008087584080997,0.8879470329629131,baseline,MOM
Late,23571,44.14322684654873,0.9064469050952442,21365.86,-12045.120000000006,0.3736290901857655,0.40726564649710034,0.6527317248830493,baseline,MOM
London,70337,45.46113709711816,0.12716536104752837,8944.430000000004,-32379.8200000001,0.0725448098436884,0.07665887628480397,0.15738503255493513,baseline,MOM
New_York,61160,42.74362328319163,1.833682308698496,112148.01000000001,-24402.180000000517,0.2880391184178806,0.2907399768796561,0.4186098020976299,baseline,MOM
Asia,10664,58.589647411852965,16.026009939984995,170901.37,-3441.880000000019,3.710936508144602,4.529959919068199,8.219283464592662,loss_streak_3_14d,MOM
Late,3603,59.228420760477384,14.9187038578962,53752.090000000004,-2073.99,2.659678055349257,3.7745097502777574,5.114337514306279,loss_streak_3_14d,MOM
London,11333,56.07517868172594,12.210464131297979,138381.19,-2918.1399999999994,3.1453528719904873,3.708951692304073,6.25449612794764,loss_streak_3_14d,MOM
New_York,9359,55.561491612351745,12.212576129928411,114297.5,-2478.189999999973,2.9118191567411653,3.4055687190082162,5.982771775515214,loss_streak_3_14d,MOM
Asia,15927,49.13668613047027,0.02759716205186173,439.5400000000018,-9225.570000000005,0.01061583215014578,0.012113670887404341,0.018103614502687434,baseline,REV
Late,4886,49.713467048710605,-0.43389480147359816,-2120.0100000000007,-7646.139999999999,-0.09487216876772873,-0.12123389735107368,-0.15475206708008732,baseline,REV
London,23176,48.51570590265793,-2.553123489817052,-59171.19,-64385.19999999984,-0.30435791448193455,-0.33187682432355153,-0.3389006536609149,baseline,REV
New_York,11704,51.691729323308266,-0.3450111073137389,-4038.01,-18343.510000000002,-0.1225974565231795,-0.13373283685654577,-0.18604504128606725,baseline,REV
Asia,7310,52.16142270861833,4.46613269493844,32647.429999999997,-3251.5399999999936,1.3019747852883008,1.6159862434846923,2.1942027764365357,loss_streak_3_14d,REV
Late,2187,51.39460448102423,2.095628715134888,4583.139999999999,-2731.600000000002,0.3240908469504179,0.5044807687746095,0.5985072779224807,loss_streak_3_14d,REV
London,10439,49.7269853434237,-3.430758693361433,-35813.69,-55993.119999999995,-0.1885701903077318,-0.21834635902536248,-0.21939008146612068,loss_streak_3_14d,REV
New_York,5116,53.32290852228303,2.4052971071149334,12305.5,-4382.470000000012,0.6237466263347617,0.7740560408459219,0.9607164984384087,loss_streak_3_14d,REV
