pair,trades,win_rate,mean_pnl,total_pnl,max_dd,sharpe,sharpe_active,sharpe_trade,variant,strategy_type
AUD/CAD,11570,44.140017286084706,-0.1458228176318064,-1687.17,-8759.189999999995,-0.054654130167865876,-0.06668663799127071,-0.18025145738914372,baseline,MOM
AUD/NZD,11337,44.24450912939931,-0.5743812296021874,-6511.759999999998,-10660.409999999983,-0.15135176913077064,-0.18976226642259678,-0.5033294622909377,baseline,MOM
CAC/NZD,6694,42.26172691962952,-2.0047490289811774,-13419.79,-24975.110000000044,-0.23000463272822982,-0.32216959150969315,-0.7300388479723949,baseline,MOM
CHF/JPY,11609,44.40520285985012,0.853321560857955,9906.21,-8467.959999999986,0.28578920672332503,0.3563041643232116,0.9092950456352029,baseline,MOM
EUR/AUD,11330,46.857899382171226,1.9989523389232124,22648.129999999997,-7986.399999999918,0.5242414875357454,0.6601493743844606,1.7869034626989453,baseline,MOM
EUR/CHF,11661,43.52971443272446,-0.7438795986622074,-8674.380000000001,-12495.469999999992,-0.2824016941472408,-0.3430867093971285,-0.8892089991808968,baseline,MOM
EUR/GBP,10582,44.56624456624457,-0.39503591003591015,-4180.270000000001,-11843.050000000003,-0.12721921501305888,-0.15835688214895097,-0.40735247349716996,baseline,MOM
EUR/JPY,11566,44.1206985993429,1.5779742348262147,18250.85,-7769.1499999999905,0.466257818067733,0.5827887828449888,1.5547549659329156,baseline,MOM
GBP/AUD,11451,45.227491048816695,2.0716339184350714,23722.280000000002,-8576.150000000012,0.47951697057838644,0.6000586178936435,1.7100662232569115,baseline,MOM
GBP/CAD,11387,42.47826468780188,0.21882146307192443,2491.7200000000034,-6907.920000000004,0.08708245959702945,0.10689281343217374,0.27325062150150775,baseline,MOM
GBP/JPY,11600,42.560344827586206,1.1969948275862072,13885.140000000003,-10793.299999999994,0.33908524222765274,0.4261455277871877,1.1367703249673422,baseline,MOM
Gold/Oil,9578,41.53267905617039,2.07053247024431,19831.56,-18217.650000000005,0.3193959977793234,0.4038766655938977,1.0524834698607906,baseline,MOM
Gold/Silver,10807,49.403164615526975,-1.5950966965855466,-17238.210000000003,-46397.11,-0.2529592743730155,-0.31249218335484774,-0.829809253448795,baseline,MOM
NZD/CAD,11659,42.001886954284245,0.2788635388969895,3251.2700000000004,-6529.729999999998,0.10272068413955339,0.12561442670160772,0.34349370589304734,baseline,MOM
Oil/Silver,9720,40.54526748971193,-0.9023909465020574,-8771.239999999998,-48177.750000000015,-0.0814901633732066,-0.10140740391244323,-0.25133081628388143,baseline,MOM
SPX/CAC,6418,44.43751947647242,-3.6988921782486752,-23739.489999999998,-33432.17999999996,-0.4017057683479531,-0.5566269798233644,-1.2515653203665482,baseline,MOM
SPX/DAX,7907,46.57898065005691,2.3729783735930186,18763.14,-15317.859999999995,0.25266928817372636,0.33594158817521513,0.8203786451575187,baseline,MOM
SPX/Dow,9285,43.22024771136241,12.86461604738826,119447.95999999999,-6726.669999999998,0.3174981086816156,0.4072517963590714,0.5762468183202362,baseline,MOM
SPX/FTSE,9758,41.46341463414634,-2.352738266038122,-22958.019999999997,-34999.64000000001,-0.3875190911599487,-0.48668742760781863,-1.189109197049527,baseline,MOM
SPX/HK,5853,45.56637621732445,2.7723338458909965,16226.470000000003,-25151.64000000002,0.21132874318467756,0.29560717931403446,0.6643065968822471,baseline,MOM
SPX/Nas,9473,51.64150744220416,4.735743692600021,44861.7,-12517.57,0.700864200903026,0.8710857788667141,2.05344920407569,baseline,MOM
SPX/Nikkei,9972,47.24227837946249,-1.4400300842358609,-14359.980000000005,-33178.579999999994,-0.20806256781449825,-0.2623329089894148,-0.6297929262183481,baseline,MOM
AUD/CAD,1597,55.10331872260489,6.683287413901065,10673.210000000001,-898.2499999999995,0.9742675381212307,2.7583684098216823,6.998747748307164,loss_streak_3_14d,MOM
AUD/NZD,1915,63.133159268929504,14.952981723237597,28634.96,-1093.070000000007,1.6081421579776907,4.42365829990057,11.323149565665968,loss_streak_3_14d,MOM
CAC/NZD,1371,57.76805251641138,21.684485776805253,29729.43,-3384.139999999999,1.1217458924168817,3.1182511290588684,6.627809854777011,loss_streak_3_14d,MOM
CHF/JPY,1677,56.35062611806798,9.756159809183066,16361.08,-1140.1599999999944,1.049101858115312,3.0677999132095564,8.025948279302007,loss_streak_3_14d,MOM
EUR/AUD,1708,60.421545667447305,13.984051522248246,23884.760000000002,-1052.2200000000048,1.226691299519163,3.4714625303381093,9.720242785116195,loss_streak_3_14d,MOM
EUR/CHF,1725,57.68115942028985,8.32343768115942,14357.93,-1147.420000000002,1.0358565265780348,2.942930717638125,8.050109094075975,loss_streak_3_14d,MOM
EUR/GBP,1681,57.64425936942297,9.85953004164188,16573.870000000003,-1256.3400000000001,1.1908835988192998,3.2487062074912285,8.432307204412174,loss_streak_3_14d,MOM
EUR/JPY,1502,53.66178428761651,9.81818242343542,14746.910000000002,-1862.239999999998,0.9393883159734903,2.791951666390237,7.364940510730832,loss_streak_3_14d,MOM
GBP/AUD,1641,56.91651432053626,11.972297379646557,19646.54,-1427.9499999999998,1.145752581843145,3.340733599228492,8.862620780811225,loss_streak_3_14d,MOM
GBP/CAD,1493,53.583389149363704,6.823436034829203,10187.39,-1079.0000000000032,0.9444365324627096,2.7783504930759526,7.355563272671787,loss_streak_3_14d,MOM
GBP/JPY,1647,57.680631451123254,11.60017607771706,19105.489999999998,-1633.3099999999904,1.1635415283228234,3.4833938717271296,9.194978208565814,loss_streak_3_14d,MOM
Gold/Oil,1450,53.6551724137931,20.67206206896552,29974.49,-2193.3499999999913,1.1053568861400003,3.186166029845252,8.483755849039069,loss_streak_3_14d,MOM
Gold/Silver,1817,60.209135938359935,10.998651623555313,19984.550000000003,-2683.279999999995,0.8722712720702758,2.258082592104079,5.244293851600169,loss_streak_3_14d,MOM
NZD/CAD,1471,52.34534330387491,7.307831407205982,10749.82,-723.1399999999976,0.9633726178600251,2.77153575327663,7.33618292798539,loss_streak_3_14d,MOM
Oil/Silver,1358,50.662739322533135,22.540066273932254,30609.410000000003,-3579.200000000002,0.7177604016351352,2.050217839787171,4.790992146094086,loss_streak_3_14d,MOM
SPX/CAC,1489,57.7568838146407,12.338173270651444,18371.54,-4209.2300000000005,0.7287440368328262,1.9424437069247915,4.114232725586346,loss_streak_3_14d,MOM
SPX/DAX,1613,60.26038437693738,22.69238065716057,36602.81,-3300.330000000001,1.0959761629929976,2.878087402420764,6.947841000409444,loss_streak_3_14d,MOM
SPX/Dow,1599,57.78611632270169,9.937836147592247,15890.600000000002,-1111.3199999999997,1.2974463805587335,3.6560888844002486,8.293104443354265,loss_streak_3_14d,MOM
SPX/FTSE,1576,56.852791878172596,19.548362944162438,30808.22,-1575.3800000000047,1.0465079708549392,2.9318181011071673,7.294178500632475,loss_streak_3_14d,MOM
SPX/HK,1319,54.51099317664898,22.432729340409402,29588.77,-4497.620000000001,0.8616601754294987,2.292554793577934,5.063030889986739,loss_streak_3_14d,MOM
SPX/Nas,1710,58.01169590643275,17.581152046783625,30063.77,-1868.1400000000012,1.20372537194851,3.0584898208529796,7.018836989750206,loss_streak_3_14d,MOM
SPX/Nikkei,1600,58.25,12.991624999999999,20786.6,-2115.2000000000044,0.9577450275936035,2.5469876547361343,4.775087884870847,loss_streak_3_14d,MOM
AUD/CAD,2894,49.44713199723566,0.7460366275051831,2159.0299999999997,-2681.96,0.2625684113499164,0.3914942319988269,0.6121232685241732,baseline,REV
AUD/NZD,2737,52.97771282426014,1.3904530507855313,3805.669999999999,-3471.6200000000013,0.29465082058051884,0.4619032831809096,0.7677188395152865,baseline,REV
CAC/NZD,1515,52.73927392739274,1.4981452145214516,2269.689999999999,-4822.150000000002,0.13816952857624606,0.26954668159201073,0.3888957102870251,baseline,REV
CHF/JPY,2991,50.25075225677031,-0.44245737211634895,-1323.3899999999996,-4288.000000000002,-0.12119422601024041,-0.18289071385759958,-0.2951900593028119,baseline,REV
EUR/AUD,2636,49.4309559939302,-0.7154514415781488,-1885.9300000000003,-4334.169999999998,-0.16716733686605667,-0.2623433279367078,-0.40764329307720604,baseline,REV
EUR/CHF,3016,49.46949602122016,0.045043103448275716,135.84999999999957,-2629.970000000001,0.015377054114283714,0.022918841243062222,0.0354550162091081,baseline,REV
EUR/GBP,2791,49.659620207810825,0.28852382658545306,805.2699999999995,-1973.85,0.0922445288253969,0.14119144568260605,0.20464777436859508,baseline,REV
EUR/JPY,2985,48.006700167504185,-1.794422110552764,-5356.35,-6483.070000000008,-0.43985100314315634,-0.6658928100899508,-1.1038341075206342,baseline,REV
GBP/AUD,2636,50.94840667678301,-0.9445333839150227,-2489.79,-6820.700000000003,-0.19329654089085424,-0.30740644152291546,-0.4948836365929517,baseline,REV
GBP/CAD,2900,50.13793103448276,0.2720103448275861,788.8299999999997,-1815.6100000000006,0.09558332192777831,0.1428771575189707,0.22045546463639507,baseline,REV
GBP/JPY,2971,47.86267250084147,-2.4193066307640523,-7187.759999999999,-9439.32000000002,-0.5828043784481906,-0.88734635954195,-1.4339400080369764,baseline,REV
Gold/Oil,2505,49.98003992015968,-1.4469341317365272,-3624.5700000000006,-6180.35,-0.2248131352049775,-0.3486506741768373,-0.5131936854424196,baseline,REV
Gold/Silver,2802,48.037116345467524,1.0893040685224842,3052.2300000000005,-3689.5400000000036,0.15892263291629832,0.24156103692795483,0.37309752050297024,baseline,REV
NZD/CAD,2943,50.35677879714577,0.2239211688752971,658.9999999999993,-2357.0600000000004,0.0761361282124188,0.1129102894777496,0.17991647598629332,baseline,REV
Oil/Silver,2513,48.74651810584958,1.0947910863509747,2751.209999999999,-8821.229999999992,0.08640699698508797,0.13431639595706507,0.2027131694834539,baseline,REV
SPX/CAC,1508,50.663129973474796,6.768958885941645,10207.59,-2095.46,0.5860266728927137,1.1351087908479573,1.5872488392637938,baseline,REV
SPX/DAX,1948,47.997946611909654,0.427356262833675,832.4899999999989,-6147.030000000007,0.039044621693780014,0.06923607963182832,0.10353710852908067,baseline,REV
SPX/Dow,2379,49.012189995796554,-24.065056746532154,-57250.77,-58751.43999999999,-0.304513857205914,-0.4921232876568725,-0.49279559394351397,baseline,REV
SPX/FTSE,2428,50.782537067545306,1.5640774299835256,3797.5800000000004,-7190.260000000003,0.2073797768985793,0.32915519344322036,0.4926268129893996,baseline,REV
SPX/HK,1474,48.64314789687924,-3.4945318860244226,-5150.939999999999,-8844.369999999999,-0.21971240947847523,-0.4076542202439341,-0.5800322091029234,baseline,REV
SPX/Nas,2646,47.46787603930461,-6.154501133786849,-16284.810000000001,-21753.690000000002,-0.7795386033380091,-1.158759703559628,-1.7176389068086573,baseline,REV
SPX/Nikkei,2475,46.74747474747475,1.7778585858585858,4400.2,-4359.790000000002,0.20033494449380734,0.3129325787973977,0.4599672878002612,baseline,REV
AUD/CAD,1209,50.78577336641853,2.2755665839536805,2751.16,-854.2400000000013,0.5424277240778179,1.2070452567192684,1.766474108065057,loss_streak_3_14d,REV
