variant,pred_threshold,trades,win_rate,mean_pnl,total_pnl,max_dd,sharpe,sharpe_active,sharpe_trade
baseline,0,65266,46.51886127539607,7.204860417368922,470232.42000000004,-34418.25000000035,1.4767136610166927,1.4823784420918873,3.4676785136360384
baseline,5,26174,49.9617941468633,19.198338809505614,502497.31999999995,-16339.039999999746,1.9219808136456358,1.9831017008311946,4.245013846961983
baseline,10,7982,53.68328739664244,45.439998747181164,362702.07000000007,-12293.759999999922,1.5864543121147174,1.9661411634583024,4.093457151816616
baseline,15,4009,56.772262409578445,79.91324519830381,320372.2,-13507.180000000051,1.4752008619149712,2.2747736076162597,4.760337740067898
baseline,20,2477,59.345983044004846,109.91310859911184,272254.77,-10525.740000000107,1.3008502590248874,2.3893756643080235,4.996640363443762
guardrail,0,24224,58.41314398943197,31.209770062747687,756025.47,-4831.200000000128,4.548708375028154,4.760630171952742,11.623049091336476
guardrail,5,10239,60.64068756714522,46.869308526223264,479894.85,-4513.39000000013,3.792192338820341,4.411066648448034,9.86775921200659
guardrail,10,3349,63.54135562854584,79.83980292624663,267383.5,-4002.6699999998964,2.8381632847163205,4.552027673300906,9.722262291205283
guardrail,15,1749,66.49514008004574,112.0142995997713,195913.01,-3102.969999999943,2.4879198631382184,5.28630596689345,11.277138817233395
guardrail,20,1106,67.17902350813743,132.88544303797468,146971.3,-2380.2899999999972,2.1534502431436167,5.591031091187993,11.86451343620431
