pair,trades,win_rate,mean_pnl,total_pnl,max_dd,sharpe,sharpe_active,sharpe_trade,variant
AUD/CAD,3803,44.35971601367342,-1.1146226663160663,-4238.91,-11584.519999999993,-0.16003815689188688,-0.2670761284625725,-0.6566055228341947,baseline
AUD/NZD,3717,48.7758945386064,8.227522195318805,30581.699999999997,-8425.869999999997,0.6684020710111416,1.162987548543455,3.034060549291204,baseline
CAC/NZD,2148,44.36685288640596,12.860991620111733,27625.410000000003,-16174.570000000029,0.5157552607670117,0.9412769412601129,1.8398650873398772,baseline
CHF/JPY,3812,44.622245540398744,0.45610178384050365,1738.6599999999999,-14713.190000000002,0.05183273032711282,0.09116937789903126,0.2134142756934374,baseline
EUR/AUD,3709,48.09921811809113,6.653100566190349,24676.350000000006,-9455.279999999972,0.646364234709898,1.1320037249884678,2.793064065664679,baseline
EUR/CHF,3934,42.60294865277071,-3.666075241484494,-14422.339999999998,-17648.050000000036,-0.4837024353562442,-0.8171242164839289,-1.9973843497617996,baseline
EUR/GBP,3568,45.20739910313901,1.6584304932735427,5917.280000000001,-9320.710000000006,0.156707246708915,0.2720602460185669,0.7353803964825442,baseline
EUR/JPY,3846,44.98179927197088,1.3721580863234526,5277.319999999999,-13339.560000000014,0.15685461295100372,0.27417226266839756,0.630282025014195,baseline
GBP/AUD,3784,46.32663847780127,5.344122621564482,20222.16,-8661.239999999978,0.5016273539109958,0.8924671324683859,2.1966601810358504,baseline
GBP/CAD,3746,41.21729845168179,-2.2732194340630003,-8515.48,-12254.059999999994,-0.37833258731825337,-0.649871478349382,-1.4541482496036673,baseline
GBP/JPY,3830,45.561357702349866,1.1244516971279368,4306.649999999998,-13327.699999999966,0.13578085889407818,0.23913864964746703,0.5513948909991475,baseline
Gold/Oil,3217,40.87659309916071,0.1974417158843649,635.1700000000019,-14868.819999999994,0.012021676896016877,0.0209304374887848,0.049112114698110096,baseline
Gold/Silver,3531,54.20560747663551,8.018646275842537,28313.839999999997,-20194.140000000003,0.35699108421137254,0.6149408066303182,1.6476506154639672,baseline
NZD/CAD,3829,43.56228780360407,-0.7878584486811177,-3016.7099999999996,-9871.209999999992,-0.12982792691846362,-0.2211105746022225,-0.5097834236245915,baseline
Oil/Silver,3258,42.38796807857581,6.491743400859423,21150.1,-20729.939999999995,0.20873544050156687,0.35810721689462155,0.8132648758146643,baseline
SPX/CAC,2088,50.09578544061303,19.611834291187744,40949.51000000001,-8149.210000000014,0.7791645516664657,1.437537251268787,2.575711402431687,baseline
SPX/DAX,2585,47.81431334622824,37.354560928433266,96561.54,-8276.159999999989,0.5136934828649932,0.9385883716738064,1.8759103932564742,baseline
SPX/Dow,3122,42.28058936579116,-2.956342088404869,-9229.7,-13166.330000000009,-0.34138434954222746,-0.6092761979471155,-1.3190490422927807,baseline
SPX/FTSE,3299,44.922703849651406,10.543310093967868,34782.38,-18457.279999999937,0.6869074437019248,1.1619911979968607,2.508378678919307,baseline
SPX/HK,1954,49.437052200614126,22.517824974411468,43999.83000000001,-12874.55000000001,0.7476659077447808,1.4164094212809861,2.5261060596538853,baseline
SPX/Nas,3401,52.04351661276095,1.4300676271684796,4863.659999999999,-17516.329999999987,0.07960750423023501,0.13807824701713067,0.3021832629444729,baseline
SPX/Nikkei,3448,48.14385150812065,4.026334106728537,13882.799999999996,-14048.120000000008,0.21340484417191202,0.37583514555340536,0.8392516844848531,baseline
AUD/CAD,1321,58.06207418622256,14.871816805450415,19645.67,-2074.180000000005,1.0554794910268857,2.903543688896302,7.6788512405422535,loss_streak_3_14d
AUD/NZD,1267,58.40568271507498,28.78631412786109,36472.26,-1642.6999999999998,1.0868360088847326,3.0108562352743946,8.48305157255341,loss_streak_3_14d
CAC/NZD,944,52.22457627118644,37.290063559322036,35201.82,-7321.450000000012,0.8646990745238439,2.298354304884335,4.764384823620741,loss_streak_3_14d
CHF/JPY,1304,59.279141104294474,20.45743865030675,26676.5,-2360.349999999995,1.212428093182504,3.4711234478679596,7.750903932577653,loss_streak_3_14d
EUR/AUD,1346,60.25260029717682,27.772466567607726,37381.74,-1589.8600000000006,1.4772104369604548,4.04924133121796,10.102541858643077,loss_streak_3_14d
EUR/CHF,1301,57.49423520368947,15.606556495003842,20304.129999999997,-1661.1099999999979,1.0159850090980649,2.7623445836883413,6.919245171365313,loss_streak_3_14d
