symbol,offset,selected_rows_total,trade_rows_total,mean_gross_pips,mean_net_pips,lb95_trade_mean_gross_pips,lb95_trade_mean_net_pips,positive_months,candidate_uid_close_ts_overlap_rate,canonical_state_coverage_rate,canonical_event_rows_total,mapped_event_rows_total,unmapped_event_rows_total,baseline_selected_rows_exact_match,baseline_event_rows_exact_match,execution_fill_rate,execution_no_touch_rate,execution_overshoot_p95_pips,tick_exact_pass,selected_rows_delta_pct,trade_rows_delta_pct,mean_gross_pips_delta,mean_net_pips_delta,lb95_trade_mean_gross_pips_delta,lb95_trade_mean_net_pips_delta,offset_status,degrade_reasons,failure_reason,prediction_path,reduced_state_schedule_csv,stop_limit_detail_csv,baseline_event_rows_canonical,baseline_event_rows_offset0,baseline_selected_rows_canonical,baseline_selected_rows_offset0,baseline_selected_overlap_event_id,baseline_parity_pass,diagnostic_reasons
GBPUSD,0,12161,12161,2.7723871392155166,2.672387139215517,2.698075404983139,2.594600361812339,11,1.0,0.8846153846153846,4598330,4598330,0,True,True,0.9986947932834768,0.0013052067165232,0.5000000000010552,True,0.0,0.0,0.0,0.0,0.0,0.0,ok,,,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_000/wfo/GBPUSD_oco_monthly_predictions.parquet,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_000/reduced_core_rolling/GBPUSD_oco_reduced_state_schedule.csv,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_000/stop_limit/GBPUSD_stop_limit_tickfill_detail.csv,4598330.0,4598330.0,12161.0,12161.0,1.0,True,canonical_state_coverage_lt_90pct
GBPUSD,10,11951,11951,2.824834741862591,2.724834741862592,2.749158647811895,2.6545816249686136,11,0.3967444824190465,0.8846153846153846,4598330,4582794,15536,,,0.9986078063484988,0.0013921936515012,0.5000000000010552,True,-1.7268316750267247,-1.7268316750267247,0.0524476026470743,0.0524476026470748,0.0510832428287559,0.0599812631562746,ok,,,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_010/wfo/GBPUSD_oco_monthly_predictions.parquet,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_010/reduced_core_rolling/GBPUSD_oco_reduced_state_schedule.csv,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_010/stop_limit/GBPUSD_stop_limit_tickfill_detail.csv,,,,,,,"canonical_state_coverage_lt_90pct,selected_overlap_lt_0.60"
GBPUSD,20,12156,12156,2.859065482066482,2.7590654820664815,2.789410167818388,2.685511270154669,11,0.3932848220936228,0.8846153846153846,4598330,4579267,19063,,,0.998363272598376,0.001636727401624,0.5000000000010552,True,-0.0411150398815886,-0.0411150398815886,0.0866783428509654,0.0866783428509645,0.091334762835249,0.0909109083423298,ok,,,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_020/wfo/GBPUSD_oco_monthly_predictions.parquet,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_020/reduced_core_rolling/GBPUSD_oco_reduced_state_schedule.csv,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_020/stop_limit/GBPUSD_stop_limit_tickfill_detail.csv,,,,,,,"canonical_state_coverage_lt_90pct,selected_overlap_lt_0.60"
GBPUSD,30,12210,12210,2.899942669942675,2.799942669942675,2.8239811629811697,2.7276482391482437,11,0.3966189111747851,0.8846153846153846,4598330,4578548,19782,,,0.998445851628431,0.0015541483715689,0.5000000000010552,True,0.4029273908395691,0.4029273908395691,0.1275555307271583,0.1275555307271578,0.1259057579980309,0.1330478773359047,ok,,,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_030/wfo/GBPUSD_oco_monthly_predictions.parquet,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_030/reduced_core_rolling/GBPUSD_oco_reduced_state_schedule.csv,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_030/stop_limit/GBPUSD_stop_limit_tickfill_detail.csv,,,,,,,"canonical_state_coverage_lt_90pct,selected_overlap_lt_0.60"
GBPUSD,40,12062,12062,2.851168960371413,2.7511689603714125,2.778586469905488,2.6726210412866913,11,0.3992836924498874,0.8846153846153846,4598330,4578025,20305,,,0.9982706839645454,0.0017293160354545,0.5000000000010552,True,-0.814077789655456,-0.814077789655456,0.0787818211558963,0.0787818211558954,0.0805110649223492,0.0780206794743523,ok,,,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_040/wfo/GBPUSD_oco_monthly_predictions.parquet,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_040/reduced_core_rolling/GBPUSD_oco_reduced_state_schedule.csv,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_040/stop_limit/GBPUSD_stop_limit_tickfill_detail.csv,,,,,,,"canonical_state_coverage_lt_90pct,selected_overlap_lt_0.60"
GBPUSD,50,12214,12214,2.7710823644997498,2.6710823644997492,2.704162027181922,2.602310054036359,11,0.3899184581171238,0.8846153846153846,4598330,4579641,18689,,,0.99866919299769,0.00133080700231,0.5000000000010552,True,0.43581942274484,0.43581942274484,-0.0013047747157668,-0.0013047747157677,0.0060866221987829,0.00770969222402,ok,,,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_050/wfo/GBPUSD_oco_monthly_predictions.parquet,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_050/reduced_core_rolling/GBPUSD_oco_reduced_state_schedule.csv,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_050/stop_limit/GBPUSD_stop_limit_tickfill_detail.csv,,,,,,,"canonical_state_coverage_lt_90pct,selected_overlap_lt_0.60"
GBPUSD,60,12097,12097,2.8251797966438006,2.725179796643801,2.7530329833842986,2.6557005869223773,11,0.3854589068479068,0.8846153846153846,4598330,4582228,16102,,,0.998438103674108,0.0015618963258919,0.5000000000010552,True,-0.5262725104843352,-0.5262725104843352,0.0527926574282839,0.0527926574282839,0.0549575784011597,0.0611002251100383,ok,,,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_060/wfo/GBPUSD_oco_monthly_predictions.parquet,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_060/reduced_core_rolling/GBPUSD_oco_reduced_state_schedule.csv,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_060/stop_limit/GBPUSD_stop_limit_tickfill_detail.csv,,,,,,,"canonical_state_coverage_lt_90pct,selected_overlap_lt_0.60"
GBPUSD,70,12177,12177,2.7970271823930366,2.697027182393037,2.720027510881175,2.6197725219676515,11,0.3926527809567406,0.8846153846153846,4598330,4580341,17989,,,0.9985254931950436,0.0014745068049564,0.4999999999988347,True,0.1315681276210838,0.1315681276210838,0.02464004317752,0.02464004317752,0.0219521058980363,0.0251721601553125,ok,,,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_070/wfo/GBPUSD_oco_monthly_predictions.parquet,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_070/reduced_core_rolling/GBPUSD_oco_reduced_state_schedule.csv,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_070/stop_limit/GBPUSD_stop_limit_tickfill_detail.csv,,,,,,,"canonical_state_coverage_lt_90pct,selected_overlap_lt_0.60"
GBPUSD,80,12194,12194,2.7823109726094826,2.6823109726094825,2.712495489585054,2.60651016893556,11,0.3964222234963591,0.8846153846153846,4598330,4580400,17930,,,0.9983941161937704,0.0016058838062296,0.5000000000010552,True,0.2713592632184853,0.2713592632184853,0.0099238333939659,0.0099238333939655,0.0144200846019151,0.0119098071232208,ok,,,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_080/wfo/GBPUSD_oco_monthly_predictions.parquet,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_080/reduced_core_rolling/GBPUSD_oco_reduced_state_schedule.csv,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_080/stop_limit/GBPUSD_stop_limit_tickfill_detail.csv,,,,,,,"canonical_state_coverage_lt_90pct,selected_overlap_lt_0.60"
GBPUSD,90,12109,12109,2.8437278057643085,2.743727805764309,2.7744689900074375,2.6757325130068548,11,0.3910700980111194,0.8846153846153846,4598330,4583290,15040,,,0.9988410294496782,0.0011589705503217,0.5000000000010552,True,-0.4275964147685223,-0.4275964147685223,0.0713406665487919,0.0713406665487919,0.0763935850242987,0.0811321511945157,ok,,,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_090/wfo/GBPUSD_oco_monthly_predictions.parquet,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_090/reduced_core_rolling/GBPUSD_oco_reduced_state_schedule.csv,data/analysis/tick_opportunity_mining/offset_robustness_frozen/runs/GBPUSD/offset_090/stop_limit/GBPUSD_stop_limit_tickfill_detail.csv,,,,,,,"canonical_state_coverage_lt_90pct,selected_overlap_lt_0.60"
