Y,X,Tier,SignalBeta,Mismatch,ADF_PVal
GBPCAD,JPXJPY,Tier 1: Strategic,0.05357784107349708,-0.9046356215325299,0.0
GBPCAD,HKXHKD,Avoid,0.0523759757319966,-0.44887872635908915,0.0
GBPCAD,FRXEUR,Tier 1: Strategic,0.06281673918613756,-1.1544571632388616,0.0
JPXJPY,EURJPY,Avoid,2.0558729535682887,0.48291881638919476,0.0
JPXJPY,SPXUSD,Avoid,1.2638894383126527,0.6889291990633151,0.0
JPXJPY,ETXEUR,Avoid,1.1600253766917226,0.34180458505837086,0.0
JPXJPY,GRXEUR,Tier 1: Strategic,1.0695396741882908,0.7253616210149909,0.0
JPXJPY,USDJPY,Avoid,2.1127572242107866,0.6123709077302948,0.0
JPXJPY,UDXUSD,Avoid,1.6288624291364842,0.2184487919015809,0.0
JPXJPY,GBPJPY,Avoid,2.0071554661669597,0.421300878668295,0.0
JPXJPY,FRXEUR,Tier 1: Strategic,1.1724754696094024,0.758700946031349,0.0
AUDCAD,EURJPY,Avoid,-0.008807520736988237,999.0,0.0
AUDCAD,SPXUSD,Avoid,-0.005413845478112317,999.0,0.0
AUDCAD,ETXEUR,Avoid,-0.004931806840147589,999.0,0.0
AUDCAD,GRXEUR,Avoid,-0.004580679086526064,999.0,0.0
GBPCAD,GBPJPY,Avoid,0.10753514143137437,3.6548903921718345,0.0
AUDCAD,USDJPY,Avoid,-0.009051881397852788,999.0,0.0
AUDCAD,BCOUSD,Avoid,-0.010385670649682602,2.6894915211873514,0.0
AUDCAD,GBPJPY,Avoid,-0.008597211825606344,999.0,0.0
AUDCAD,HKXHKD,Avoid,-0.0041863335548601825,999.0,0.0
AUDCAD,FRXEUR,Avoid,-0.005021796276765256,999.0,0.0
EURJPY,SPXUSD,Avoid,0.6147736557206805,0.32786973412494685,0.0
EURJPY,ETXEUR,Avoid,0.5642397315988343,0.18070279242763437,0.0
EURJPY,GRXEUR,Avoid,0.520238183087373,0.33436071598291084,0.0
EURJPY,USDJPY,Avoid,1.027669877478586,0.5251443052771114,0.0
EURJPY,UDXUSD,Avoid,0.792398702654851,0.11612843657475956,0.0
EURJPY,GBPJPY,Avoid,0.9763063328278856,0.5803777443450335,0.0
EURJPY,HKXHKD,Avoid,0.4755326152152899,0.3278572044540811,0.0
EURJPY,FRXEUR,Avoid,0.570307481312658,0.35077482780991504,0.0
NZDCAD,SPXUSD,Avoid,-0.01241970158288669,4.348453990748487,0.0
NZDCAD,ETXEUR,Avoid,-0.011381061529604768,2.1440448255028435,0.0
AUDCAD,UDXUSD,Avoid,-0.007277217335838786,999.0,0.0
NZDCAD,GRXEUR,Avoid,-0.010508858736832693,5.2053952091319,0.0
GBPCAD,BCOUSD,Avoid,0.1299648469415287,-0.37703003988167016,0.0
GBPCAD,USDJPY,Tier 1: Strategic,0.11319711841958961,-1.021754175221076,0.0
EURGBP,USDJPY,Avoid,-0.02496735667719247,3.1311452365220043,0.0
EURGBP,UDXUSD,Tier 1: Strategic,-0.019335950745926242,0.7315659992311722,0.0
EURGBP,BCOUSD,Avoid,-0.02864756530045189,0.4401421950418907,0.0
EURGBP,GBPJPY,Avoid,-0.023713574318694614,14.055830019347384,0.0
EURGBP,HKXHKD,Tier 1: Strategic,-0.011548275519212723,0.7969684289118678,0.0
EURGBP,FRXEUR,Avoid,-0.013850628250880693,1.9959664336703276,0.0
UKXGBP,JPXJPY,Avoid,0.8877661709101573,0.5246569706871982,0.0
UKXGBP,EURJPY,Avoid,1.8251173041300317,0.23618705224069708,0.0
UKXGBP,SPXUSD,Avoid,1.122032114406373,0.516772223703251,0.0
UKXGBP,ETXEUR,Avoid,1.029691693630809,0.28822356636490915,0.0
UKXGBP,GRXEUR,Avoid,0.9494948739857969,0.6162387751762427,0.0
UKXGBP,USDJPY,Avoid,1.8756196619560657,0.3172131978908521,0.0
UKXGBP,UDXUSD,Avoid,1.4471307273831326,0.16020534223820065,0.0
UKXGBP,GBPJPY,Avoid,1.7818668500734247,0.10262886209322074,0.0
GBPCAD,UDXUSD,Avoid,0.08770554922678205,-0.2017895778551897,0.0
UKXGBP,HKXHKD,Avoid,0.8679000448694596,0.4180736235276791,0.0
USDCHF,JPXJPY,Avoid,-0.0007136966927472262,999.0,0.0
USDCHF,EURJPY,Avoid,-0.001460176897640587,999.0,0.0
USDCHF,SPXUSD,Avoid,-0.0009011493257719533,999.0,0.0
USDCHF,ETXEUR,Avoid,-0.0008022918460898274,999.0,0.0
USDCHF,GRXEUR,Avoid,-0.0007626802721595006,999.0,0.0
USDCHF,UDXUSD,Avoid,-0.0013640728063573325,999.0,0.0
USDCHF,GBPJPY,Avoid,-0.0014274842062078432,999.0,0.0
USDCHF,HKXHKD,Avoid,-0.000696525625182572,999.0,0.0
