Y,X,Tier,SignalBeta,Mismatch,ADF_PVal
SPXUSD,GRXEUR,Tier 1: Strategic,0.8464203683590199,0.8235407325165409,0.0
AUXAUD,SPXUSD,Avoid,1.0981882061970951,0.482636067271723,0.0
USDCHF,USDJPY,Avoid,-0.0012802063517990492,999.0,0.0
USDCHF,UKXGBP,Avoid,-0.0006815134518546055,999.0,0.0
USDCHF,AUXAUD,Avoid,-0.0006956646280283457,999.0,0.0
AUXAUD,NSXUSD,Avoid,0.9825481564743368,0.39532150332612054,0.0
USDCHF,EURJPY,Avoid,-0.0012444436458572618,999.0,0.0
USDCHF,GBPJPY,Avoid,-0.001216866183302746,999.0,0.0
AUXAUD,XAGUSD,Avoid,3.2059439151494025,0.032341221228708986,0.0
USDCHF,FRXEUR,Avoid,-0.0007102404122596076,999.0,0.0
USDCHF,XAGUSD,Avoid,-0.0022014327744074714,999.0,0.0
AUXAUD,FRXEUR,Avoid,1.0188776474885044,0.5239279823841844,0.0
USDCHF,NSXUSD,Avoid,-0.0006848458756727009,999.0,0.0
AUXAUD,GBPJPY,Avoid,1.7439500130168109,0.19844012434047642,0.0
AUXAUD,EURJPY,Avoid,1.7868561721726823,0.22801331347168932,0.0
USDCHF,SPXUSD,Avoid,-0.0007659631454982204,999.0,0.0
USDCHF,GRXEUR,Avoid,-0.0006476858789112088,999.0,0.0
ETXEUR,BCOUSD,Avoid,2.0833406975828352,0.08087113608453748,0.0
ETXEUR,USDJPY,Avoid,1.819032122152301,0.5063768924061403,0.0
ETXEUR,UKXGBP,Tier 1: Strategic,0.9698478521570155,1.0508976185315277,0.0
ETXEUR,AUXAUD,Avoid,0.9904907575442635,1.2468792576845484,0.0
UKXGBP,GRXEUR,Avoid,0.9493989894833703,0.6083958265358715,0.0
ETXEUR,EURJPY,Avoid,1.7701145751164467,0.4583125059657135,0.0
ETXEUR,GBPJPY,Avoid,1.727615686875646,0.39464009281892204,0.0
ETXEUR,FRXEUR,Tier 1: Strategic,1.0093278952929534,1.1656167204422248,0.0
ETXEUR,XAGUSD,Avoid,3.1726839365503223,0.031450626053018516,0.0
USDCHF,BCOUSD,Avoid,-0.0014791035832823942,999.0,0.0
ETXEUR,NSXUSD,Avoid,0.9733425251883449,0.45066125794142337,0.0
AUXAUD,GRXEUR,Avoid,0.9295242808451853,0.49936082080277877,0.0
USDCHF,ETXEUR,Avoid,-0.0006758890417664908,999.0,0.0
JPXJPY,XAGUSD,Avoid,3.689284108453864,0.041955242763350435,0.0
AUDNZD,GBPJPY,Avoid,0.011328449576034395,6.863277466816045,0.0
JPXJPY,NSXUSD,Avoid,1.1306027206476819,0.5625094256062313,0.0
AUDNZD,EURJPY,Avoid,0.011608252085760763,9.829131152113389,0.0
GBPCAD,GRXEUR,Avoid,0.05732974344949972,-1.217508350912621,0.0
JPXJPY,SPXUSD,Avoid,1.2636653482007105,0.7054956240491519,0.0
JPXJPY,GRXEUR,Avoid,1.0695904750114429,0.7577371661182429,0.0
GBPCAD,SPXUSD,Tier 1: Strategic,0.06773316464145336,-1.0413873336116322,0.0
UDXUSD,ETXEUR,Avoid,0.8794566343052745,-2.4407748894978627,0.0
NZDUSD,NSXUSD,Avoid,-0.04358812040025752,-1.768718270326742,0.0
UDXUSD,BCOUSD,Avoid,1.779396110895544,0.057739238262539634,0.0
UDXUSD,USDJPY,Avoid,1.556526658189521,0.15338355643559076,0.0
UDXUSD,UKXGBP,Avoid,0.8304044274940905,-0.07619233000968154,0.0
