Y,X,Tier,SignalBeta,Mismatch,ADF_PVal
FRXEUR,GRXEUR,Tier 1: Strategic,0.9122705257460577,0.7953632573450174,0.0
FRXEUR,HKXHKD,Avoid,0.8384438153001602,0.37620040778646446,0.0
HKXHKD,GRXEUR,Avoid,1.088068583850175,0.4912727378677044,2.1195626663871668e-30
BCOUSD,JPXJPY,Tier 1: Strategic,0.42606424530188075,0.756033098777477,2.255910527973338e-30
USDJPY,JPXJPY,Avoid,0.471479392367033,0.427775618453622,2.2627170603499792e-30
BCOUSD,HKXHKD,Avoid,0.41791592756407214,0.5790030526640251,2.369922641189722e-30
BCOUSD,GRXEUR,Avoid,0.45468140109502664,0.5621271384732538,2.5877143241659273e-30
AUDNZD,JPXJPY,Avoid,0.007700967198810624,999.0,2.6241252930714172e-30
GRXEUR,JPXJPY,Avoid,0.9370619354030705,0.6576029667302731,2.634463256600882e-30
HKXHKD,UKXGBP,Avoid,1.1480048747624114,0.5041106155177512,2.7682653903050878e-30
XAUUSD,UKXGBP,Avoid,0.8004591804140634,-0.0220017341738961,2.78338533504748e-30
HKXHKD,NSXUSD,Avoid,1.1497931190552095,0.37635660653640435,2.8199391917216066e-30
BCOUSD,UKXGBP,Tier 1: Strategic,0.4797455779092217,1.0115567021855822,3.2332576664133564e-30
GRXEUR,UKXGBP,Tier 1: Strategic,1.0550911743673688,0.8399176133246763,3.358247894426588e-30
UDXUSD,HKXHKD,Avoid,0.9054943422005267,0.5551179834152397,3.579591689693294e-30
FRXEUR,NSXUSD,Avoid,0.9640200626265223,0.48739962102005907,3.755600127025563e-30
UDXUSD,JPXJPY,Avoid,0.9226278761342157,0.3757502345284385,4.031751027404789e-30
BCOUSD,NSXUSD,Avoid,0.48046500002125947,0.6007274946882374,4.44397708016626e-30
BCOUSD,FRXEUR,Tier 1: Strategic,0.4984071233516984,0.7122925460995363,4.578867695401196e-30
GBPJPY,GRXEUR,Avoid,0.530723704258319,0.411404278983233,4.926449605198769e-30
BCOUSD,AUXAUD,Tier 1: Strategic,0.49013651136831915,1.0631338115562547,5.5083897635315026e-30
GRXEUR,AUXAUD,Tier 1: Strategic,1.077944937749938,0.780883967134504,5.6867698823838214e-30
AUDCAD,JPXJPY,Avoid,-0.005040750690233429,999.0,5.8273152756956774e-30
AUDNZD,UKXGBP,Avoid,0.008670542886887903,999.0,5.9887194751332534e-30
JPXJPY,NSXUSD,Avoid,1.1277122052940471,0.5545057831153041,6.120823874349834e-30
AUDNZD,NSXUSD,Avoid,0.008681701112173089,999.0,6.221340055924162e-30
FRXEUR,AUXAUD,Tier 1: Strategic,0.9833763783975588,0.7672790651986294,6.224963646032522e-30
XAGUSD,UKXGBP,Avoid,0.30356246336476705,0.6822226458908781,6.417588047118927e-30
JPXJPY,UKXGBP,Tier 1: Strategic,1.1259689406767375,0.7766277963999438,6.605163205517581e-30
GRXEUR,NSXUSD,Avoid,1.0567286467767938,0.511854532127,6.714747853869792e-30
HKXHKD,ETXEUR,Avoid,1.2362396216064786,0.3669377299620019,7.594529952098697e-30
UDXUSD,GRXEUR,Avoid,0.9846449029814053,0.5284023171810973,7.828629107072813e-30
AUDNZD,AUXAUD,Avoid,0.008859017177446414,999.0,7.845791615626063e-30
GBPJPY,ETXEUR,Avoid,0.6030464569385846,0.3618397465287631,8.132338965152393e-30
EURJPY,ETXEUR,Avoid,0.5887685146449287,0.2989334679480381,8.220619619926583e-30
EURJPY,UKXGBP,Avoid,0.5466988473842681,0.3052832229294615,8.399846351523815e-30
USDJPY,ETXEUR,Avoid,0.5717069948553481,0.29098553269837746,8.846363454750184e-30
GRXEUR,ETXEUR,Tier 1: Strategic,1.1363392091697604,0.7024881672218924,8.984109348485421e-30
UDXUSD,ETXEUR,Avoid,1.1297641568010808,-0.18189487698122958,9.119371788374447e-30
JPXJPY,ETXEUR,Avoid,1.2126626779841458,0.5853600756551335,9.55645787527058e-30
FRXEUR,ETXEUR,Avoid,1.0366574599849887,0.6675056440649443,9.829315625044956e-30
XAGUSD,NSXUSD,Avoid,0.3040420114936885,0.4097481014230101,9.92240086990196e-30
EURUSD,HKXHKD,Avoid,0.013784472421793311,3.7526249112963956,1.1070041759092885e-29
GBPJPY,UKXGBP,Avoid,0.5599596243737541,0.19097921010856536,1.1785393218516377e-29
BCOUSD,SPXUSD,Tier 1: Strategic,0.5377908381365613,0.8326331859658995,1.2731288114720654e-29
GRXEUR,XAUUSD,Avoid,1.318202928151738,-0.1304887903204437,1.3063361007382757e-29
AUXAUD,UKXGBP,Avoid,0.9788016879223302,0.5149948239071493,1.404471418642137e-29
UDXUSD,NSXUSD,Avoid,1.040472568915236,0.5838399005490749,1.4084490768111192e-29
UDXUSD,UKXGBP,Avoid,1.0391486995021428,0.5878414071919738,1.415375402686132e-29
ETXEUR,UKXGBP,Tier 1: Strategic,0.930408529639893,0.9497744105373237,1.4381336812457778e-29
AUDNZD,ETXEUR,Avoid,0.009393993285451402,999.0,1.474435436821678e-29
JPXJPY,AUXAUD,Tier 1: Strategic,1.1503563990024162,0.8367837933797195,1.4917648577218917e-29
USDCHF,UKXGBP,Avoid,-0.0011652281873774908,999.0,1.6041230350236272e-29
XAGUSD,AUXAUD,Avoid,0.3101374943265985,0.538968229326876,1.6103559466882973e-29
EURUSD,JPXJPY,Tier 1: Strategic,0.01405447086386157,1.0215148757150718,1.6422138676892185e-29
USDCHF,NSXUSD,Avoid,-0.0011650420739982281,999.0,1.657928816441968e-29
GBPCAD,ETXEUR,Avoid,0.06440760693000842,-0.41675790317017003,1.7631764364586512e-29
ETXEUR,AUXAUD,Tier 1: Strategic,0.9505198063113769,0.9616314923562772,1.7924692097381697e-29
NZDUSD,UKXGBP,Avoid,-0.04510211863547068,-1.688263195065404,1.7942444285273445e-29
ETXEUR,NSXUSD,Avoid,0.9319079187605993,0.5337185185048935,1.8445891210697957e-29
UDXUSD,AUXAUD,Avoid,1.0618719136755825,0.14618707562928945,1.886953331466677e-29
GBPJPY,AUXAUD,Avoid,0.5720878667293363,0.5156078939071158,1.931171854556544e-29
NZDUSD,NSXUSD,Avoid,-0.04516833498627398,-1.5324561671231414,1.9537272790434338e-29
JPXJPY,SPXUSD,Avoid,1.2622250759802334,0.6840155622890748,2.1692667462909816e-29
USDCHF,AUXAUD,Avoid,-0.0011894213667806555,999.0,2.1848244449639392e-29
NSXUSD,AUXAUD,Tier 1: Strategic,1.0200817412904495,1.0763958591009202,2.2312341601746976e-29
