path,doc_type,authority_level,published_via_mkdocs,audience,status,issues_found,last_reviewed,notes
docs/DATA_SOURCES.md,top_level_doc,supporting,yes,operator+contributor,reviewed,no,2026-03-20,structural sweep + targeted content check
docs/REPO_STRUCTURE.md,top_level_doc,supporting,yes,operator+contributor,reviewed,no,2026-03-20,structural sweep + targeted content check
docs/STRATEGY_MASTER_MANUAL.md,manual,canonical,yes,operator+contributor,reviewed,no,2026-03-20,structural sweep + targeted content check
docs/analysis/AUDUSD_dukascopy_testclient_execution_parity_report.md,analysis_report,derived,no,operator+contributor,reviewed,yes,2026-03-20,see audit findings for concrete issue details
docs/analysis/AUDUSD_histdata_testclient_execution_parity_report.md,analysis_report,derived,no,operator+contributor,reviewed,yes,2026-03-20,see audit findings for concrete issue details
docs/analysis/AUDUSD_stage12_api_parity_report.md,analysis_report,derived,no,operator+contributor,reviewed,no,2026-03-20,structural sweep + targeted content check
docs/analysis/EURUSD_candidate_2025-07_h6_london_k2_drift.md,analysis_report,derived,no,operator+contributor,reviewed,no,2026-03-20,structural sweep + targeted content check
docs/analysis/EURUSD_ctrader_vs_research_reconciliation.md,analysis_report,derived,no,operator+contributor,reviewed,no,2026-03-20,structural sweep + targeted content check
docs/analysis/EURUSD_ctrader_vs_research_reconciliation_20250707_20250709.md,analysis_report,derived,no,operator+contributor,reviewed,no,2026-03-20,structural sweep + targeted content check
docs/analysis/EURUSD_ctrader_vs_research_reconciliation_20251208_20251210.md,analysis_report,derived,no,operator+contributor,reviewed,no,2026-03-20,structural sweep + targeted content check
docs/analysis/EURUSD_dukascopy_testclient_execution_parity_report.md,analysis_report,derived,no,operator+contributor,reviewed,yes,2026-03-20,see audit findings for concrete issue details
docs/analysis/EURUSD_histdata_ctrader_execution_parity_report.md,analysis_report,derived,no,operator+contributor,reviewed,no,2026-03-20,structural sweep + targeted content check
docs/analysis/EURUSD_histdata_testclient_execution_parity_report.md,analysis_report,derived,no,operator+contributor,reviewed,yes,2026-03-20,see audit findings for concrete issue details
docs/analysis/EURUSD_histdata_vs_ctrader_tick_forensics.md,analysis_report,derived,no,operator+contributor,reviewed,no,2026-03-20,structural sweep + targeted content check
docs/analysis/EURUSD_runtime_db_run_summary.md,analysis_report,derived,no,operator+contributor,reviewed,no,2026-03-20,structural sweep + targeted content check
docs/analysis/EURUSD_stage12_api_parity_report.md,analysis_report,derived,no,operator+contributor,reviewed,no,2026-03-20,structural sweep + targeted content check
docs/analysis/EURUSD_stage12_api_parity_tolerant_report.md,analysis_report,derived,no,operator+contributor,reviewed,no,2026-03-20,structural sweep + targeted content check
docs/analysis/EURUSD_testclient_execution_parity_report.md,analysis_report,derived,no,operator+contributor,reviewed,yes,2026-03-20,see audit findings for concrete issue details
docs/analysis/EURUSD_testclient_execution_parity_tolerant_report.md,analysis_report,derived,no,operator+contributor,reviewed,yes,2026-03-20,see audit findings for concrete issue details
docs/analysis/GBPUSD_dukascopy_testclient_execution_parity_report.md,analysis_report,derived,no,operator+contributor,reviewed,yes,2026-03-20,see audit findings for concrete issue details
docs/analysis/GBPUSD_histdata_testclient_execution_parity_report.md,analysis_report,derived,no,operator+contributor,reviewed,yes,2026-03-20,see audit findings for concrete issue details
docs/analysis/GBPUSD_stage12_api_parity_report.md,analysis_report,derived,no,operator+contributor,reviewed,no,2026-03-20,structural sweep + targeted content check
docs/analysis/USDCAD_dukascopy_testclient_execution_parity_report.md,analysis_report,derived,no,operator+contributor,reviewed,yes,2026-03-20,see audit findings for concrete issue details
docs/analysis/USDCAD_histdata_testclient_execution_parity_report.md,analysis_report,derived,no,operator+contributor,reviewed,yes,2026-03-20,see audit findings for concrete issue details
docs/analysis/USDCAD_stage12_api_parity_report.md,analysis_report,derived,no,operator+contributor,reviewed,no,2026-03-20,structural sweep + targeted content check
docs/analysis/USDCHF_dukascopy_testclient_execution_parity_report.md,analysis_report,derived,no,operator+contributor,reviewed,yes,2026-03-20,see audit findings for concrete issue details
docs/analysis/USDCHF_histdata_testclient_execution_parity_report.md,analysis_report,derived,no,operator+contributor,reviewed,yes,2026-03-20,see audit findings for concrete issue details
