feature,importance
cost_est_pips,12.715613888721032
spread_z,9.753221404824409
tick_rate_z,9.614833263663227
hour_utc,9.146132869439692
hl_pos_frac_mean_24,8.935095684272195
range_pips,7.238815442438899
ret_z,6.845828953140188
ret_abs_z,6.622715394984459
ret1_pips,6.192890618704213
hl_first_mean_24,5.774574142443326
vel_abs_cost_units_h1,4.797809913997602
vel_cost_units_h1,4.5019655931002305
barrier_pips,3.8217623239363974
horizon,2.035003183085295
bar_ticks,1.8726897119055135
hl_first,0.13104761134330312
